 i       X     FEXACT   FI_UPWIND   ERR_UP
 523   0.32708   0.88500  -0.14135   1.02635
 524   0.32770   0.88317  -0.14478   1.02795
 525   0.32833   0.88130  -0.14821   1.02951
 526   0.32896   0.87945  -0.15163   1.03108
 527   0.32958   0.87759  -0.15505   1.03264
 528   0.33021   0.87568  -0.15847   1.03415
 529   0.33083   0.87378  -0.16189   1.03567
 530   0.33146   0.87185  -0.16530   1.03715
 531   0.33208   0.86993  -0.16871   1.03864
 532   0.33271   0.86800  -0.17212   1.04012
 533   0.33333   0.86602  -0.17553   1.04155
 534   0.33396   0.86406  -0.17893   1.04299
 535   0.33458   0.86205  -0.18233   1.04439
 536   0.33521   0.86007  -0.18573   1.04580
 537   0.33583   0.85807  -0.18913   1.04719
 538   0.33646   0.85602  -0.19252   1.04854
 539   0.33709   0.85403  -0.19591   1.04994
 540   0.33771   0.85196  -0.19929   1.05125
 541   0.33834   0.84991  -0.20267   1.05258
 542   0.33896   0.84781  -0.20605   1.05387
 543   0.33959   0.84573  -0.20943   1.05516
 544   0.34021   0.84364  -0.21280   1.05645
 545   0.34084   0.84151  -0.21618   1.05768
 546   0.34146   0.83939  -0.21954   1.05893
 547   0.34209   0.83723  -0.22291   1.06013
 548   0.34271   0.83508  -0.22627   1.06135
 549   0.34334   0.83293  -0.22962   1.06255
 550   0.34396   0.83073  -0.23297   1.06370
 551   0.34459   0.82855  -0.23632   1.06487
 552   0.34522   0.82632  -0.23967   1.06599
 553   0.34584   0.82411  -0.24301   1.06712
 554   0.34647   0.82189  -0.24635   1.06824
 555   0.34709   0.81963  -0.24968   1.06931
 556   0.34772   0.81738  -0.25301   1.07040
 557   0.34834   0.81509  -0.25634   1.07143
 558   0.34897   0.81282  -0.25966   1.07248
 559   0.34959   0.81054  -0.26298   1.07352
 560   0.35022   0.80821  -0.26630   1.07451
 561   0.35084   0.80590  -0.26961   1.07551
 562   0.35147   0.80355  -0.27291   1.07646
 563   0.35210   0.80122  -0.27622   1.07743
 564   0.35272   0.79887  -0.27951   1.07839
 565   0.35335   0.79648  -0.28281   1.07929
 566   0.35397   0.79411  -0.28610   1.08021
 567   0.35460   0.79169  -0.28938   1.08108
 568   0.35522   0.78930  -0.29266   1.08196
 569   0.35585   0.78690  -0.29594   1.08284
 570   0.35647   0.78444  -0.29921   1.08365
 571   0.35710   0.78201  -0.30248   1.08449
 572   0.35772   0.77954  -0.30574   1.08527
 573   0.35835   0.77708  -0.30900   1.08608
 574   0.35897   0.77462  -0.31225   1.08687
 575   0.35960   0.77214  -0.31550   1.08764
 576   0.36023   0.76965  -0.31874   1.08839
 577   0.36085   0.76711  -0.32198   1.08909
 578   0.36148   0.76460  -0.32521   1.08981
 579   0.36210   0.76204  -0.32844   1.09048
 580   0.36273   0.75950  -0.33166   1.09117
 581   0.36335   0.75696  -0.33488   1.09184
 582   0.36398   0.75436  -0.33809   1.09245
 583   0.36460   0.75179  -0.34130   1.09309
 584   0.36523   0.74917  -0.34450   1.09367
 585   0.36585   0.74657  -0.34770   1.09427
 586   0.36648   0.74393  -0.35089   1.09482
